Type,Name,EdgeIdx,Src,Dst,Neighbor,Importance,OrigScore,RefScore(unmasked),PredAblatedZero(unmasked),Score_Impact(unmasked),ImpactPct(unmasked),ImpactPctOfOrig(unmasked),Direction(unmasked),PredAblatedMean(unmasked),Score_Impact_Mean(unmasked),ImpactPct_Mean(unmasked),ImpactPctOfOrig_Mean(unmasked),Direction_Mean(unmasked)
Edge,#1AmericanLiveStreamerOnBIGOliveapp--karrinrachelle (e0),0,#1AmericanLiveStreamerOnBIGOliveapp,karrinrachelle,#1AmericanLiveStreamerOnBIGOliveapp,0.008648841641843319,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#CES--karrinrachelle (e1),1,#CES,karrinrachelle,#CES,0.008931389078497887,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#Celebrities--karrinrachelle (e2),2,#Celebrities,karrinrachelle,#Celebrities,0.009049134328961372,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#CelebrityPup--karrinrachelle (e3),3,#CelebrityPup,karrinrachelle,#CelebrityPup,0.008853808976709843,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#DogSuperModel--karrinrachelle (e4),4,#DogSuperModel,karrinrachelle,#DogSuperModel,0.009249572642147541,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#FOXIMOXI--karrinrachelle (e5),5,#FOXIMOXI,karrinrachelle,#FOXIMOXI,0.009091934189200401,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#Famous--karrinrachelle (e6),6,#Famous,karrinrachelle,#Famous,0.008870051242411137,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#FamousArt--karrinrachelle (e7),7,#FamousArt,karrinrachelle,#FamousArt,0.00907845888286829,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#FamousDogs--karrinrachelle (e8),8,#FamousDogs,karrinrachelle,#FamousDogs,0.009019056335091591,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#ForeverMarrin--karrinrachelle (e9),9,#ForeverMarrin,karrinrachelle,#ForeverMarrin,0.009031850844621658,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#FoxiMoxiSuperDogModelLiveStreaming--karrinrachelle (e10),10,#FoxiMoxiSuperDogModelLiveStreaming,karrinrachelle,#FoxiMoxiSuperDogModelLiveStreaming,0.00906337145715952,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLE--karrinrachelle (e11),11,#KARRINRACHELLE,karrinrachelle,#KARRINRACHELLE,0.00914790853857994,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEapparel--karrinrachelle (e12),12,#KARRINRACHELLEapparel,karrinrachelle,#KARRINRACHELLEapparel,0.009025447070598602,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEapparelLegitClothing--karrinrachelle (e13),13,#KARRINRACHELLEapparelLegitClothing,karrinrachelle,#KARRINRACHELLEapparelLegitClothing,0.008938419632613659,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEbandreviews--karrinrachelle (e14),14,#KARRINRACHELLEbandreviews,karrinrachelle,#KARRINRACHELLEbandreviews,0.008899027481675148,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEfoodblog--karrinrachelle (e15),15,#KARRINRACHELLEfoodblog,karrinrachelle,#KARRINRACHELLEfoodblog,0.009174870327115059,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEfoodcritic--karrinrachelle (e16),16,#KARRINRACHELLEfoodcritic,karrinrachelle,#KARRINRACHELLEfoodcritic,0.009181639179587364,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEfoodstagram--karrinrachelle (e17),17,#KARRINRACHELLEfoodstagram,karrinrachelle,#KARRINRACHELLEfoodstagram,0.009245941415429115,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEmoviereviews--karrinrachelle (e18),18,#KARRINRACHELLEmoviereviews,karrinrachelle,#KARRINRACHELLEmoviereviews,0.00914019625633955,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
