Type,Name,FeatIdx,Importance,OrigScore,RefScore(unmasked),PredAblatedZero(unmasked),Score_Impact(unmasked),ImpactPct(unmasked),ImpactPctOfOrig(unmasked),Direction(unmasked),PredAblatedMean(unmasked),Score_Impact_Mean(unmasked),ImpactPct_Mean(unmasked),ImpactPctOfOrig_Mean(unmasked),Direction_Mean(unmasked)
Feature,followers,0,0.01076570525765419,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,followees,1,0.010340866632759571,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,posts_history,2,0.010537704452872276,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_Unknown,3,0.010220003314316273,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_beauty,4,0.010416116565465927,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_family,5,0.010190766304731369,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_fashion,6,0.01007989514619112,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_fashion 0.5,7,0.010455687530338764,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_fasion,8,0.010263060219585896,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_fitness,9,0.010552803985774517,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_food,10,0.010202551260590553,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_interior,11,0.00968831218779087,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_other,12,0.010278294794261456,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_pet,13,0.009864920750260353,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_travel,14,0.010221618227660656,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,cat_nan,15,0.009965106844902039,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,type_hashtag,16,0.01047150231897831,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,type_influencer,17,0.01039594504982233,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,type_mention,18,0.00994183775037527,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,brightness_mean,19,0.010485894978046417,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,brightness_median,20,0.010317999869585037,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Feature,brightness_min,21,0.010447654873132706,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
