pos,label,alpha_x,selected_for_explain,alpha_y,pred_full,pred_drop,delta_total,score
0,T-10,8.91378820e-02,0,8.91378820e-02,4.61672582e-02,5.21969870e-02,6.02972880e-03,5.37477254e-04
1,T-9,8.95359144e-02,1,8.95359144e-02,4.61672582e-02,3.08630913e-02,1.53041668e-02,1.37027257e-03
2,T-8,9.42655653e-02,1,9.42655653e-02,4.61672582e-02,3.05446014e-02,1.56226568e-02,1.47267857e-03
3,T-7,9.24674869e-02,1,9.24674869e-02,4.61672582e-02,3.11319102e-02,1.50353480e-02,1.39028084e-03
4,T-6,9.09330472e-02,0,9.09330472e-02,4.61672582e-02,3.23693193e-02,1.37979388e-02,1.25468862e-03
5,T-5,9.10275877e-02,0,9.10275877e-02,4.61672582e-02,3.49093154e-02,1.12579428e-02,1.02478337e-03
6,T-4,9.10636783e-02,0,9.10636783e-02,4.61672582e-02,3.57914343e-02,1.03758238e-02,9.44860683e-04
7,T-3,9.14056972e-02,0,9.14056972e-02,4.61672582e-02,3.80763002e-02,8.09095800e-03,7.39559657e-04
8,T-2,8.99932235e-02,0,8.99932235e-02,4.61672582e-02,4.04095389e-02,5.75771928e-03,5.18155718e-04
9,T-1,8.96015540e-02,0,8.96015540e-02,4.61672582e-02,4.18848917e-02,4.28236648e-03,3.83706692e-04
10,T-0,9.05683488e-02,0,9.05683488e-02,4.61672582e-02,4.47626226e-02,1.40463561e-03,1.27215528e-04
