name,mean_importance,mean_abs_impact,nonzero_frac
#マシューモリソン,0.0099070454,2.28695571e-05,1.0
#化粧品,0.0098511586,2.39163637e-05,1.0
#Beautifultree,0.00984533224,2.37599015e-05,1.0
noahhinsdale,0.00983904582,2.35885382e-05,1.0
#manhattanbridge,0.00982618518,2.41659582e-05,1.0
pier,0.00981948804,2.43932009e-05,1.0
#風俗街,0.00980272889,2.27242708e-05,1.0
#rossgeller,0.00979774538,2.37524509e-05,1.0
lakeside,0.00978355762,2.37040222e-05,1.0
soni_nicole,0.00977464113,2.39275396e-05,1.0
candacecbure,0.00976777682,2.295523885e-05,1.0
#エアーブラシ,0.00976422988,2.35177577e-05,1.0
#famoustown,0.00975902099,2.18935311e-05,1.0
sanfrancisco,0.00975545589,2.2303313e-05,1.0
#ファインディングネバーランド,0.00975300092,2.30632722e-05,1.0
#ロケ地巡り,0.00974511448,2.37934291e-05,1.0
#davidschwimmer,0.00973720755,2.41287053e-05,1.0
#mountfuji,0.00973501988,2.23405659e-05,1.0
#Okinawasong,0.0097348867,2.41138041e-05,1.0
#フラーハウス,0.0097330939,2.20797956e-05,1.0
acoustic guitar,0.00970930234,2.35065818e-05,1.0
#bluesky,0.00970115326,2.30930746e-05,1.0
#Japan,0.00969911925,2.28621066e-05,1.0
lancomeofficial,0.00969079696,2.31601298e-05,1.0
#Yokohama,0.00968752615,2.41287053e-05,1.0
#bluerose,0.00968185905,2.15917826e-05,1.0
juanpablodipace,0.00967721082,2.35661864e-05,1.0
#uke,0.0096760774,2.24411488e-05,1.0
#movielocation,0.00966915675,3.93018126e-06,1.0
